contig00001	64494	27.77
contig00002	42559	25.90
contig00003	40672	26.60
contig00004	35838	28.12
contig00005	35682	28.59
contig00006	35270	27.05
contig00007	34054	27.26
contig00008	33985	27.97
contig00009	31428	27.73
contig00010	31379	26.71
contig00011	31007	26.70
contig00012	30146	25.66
contig00013	30051	27.57
contig00014	30043	26.23
contig00015	29881	26.43
contig00016	29791	26.97
contig00017	29256	24.77
contig00018	28955	25.88
contig00019	28955	25.39
contig00020	28699	26.82
contig00021	28563	27.84
contig00022	28342	26.48
contig00023	28147	26.26
contig00024	27594	25.71
contig00025	27464	27.02
contig00026	27268	28.23
contig00027	27169	25.36
contig00028	27108	29.66
contig00029	26968	24.79
contig00030	26233	24.39
contig00031	25731	26.22
contig00032	25391	26.75
contig00033	25301	27.00
contig00034	24845	28.21
contig00035	24808	25.96
contig00036	24813	26.84
contig00037	24682	24.29
contig00038	24550	30.70
contig00039	24364	27.59
contig00040	24322	25.00
contig00041	23831	26.91
contig00042	23701	28.26
contig00043	23368	25.03
contig00044	23249	27.76
contig00045	23005	26.71
contig00046	22826	27.31
contig00047	22835	27.64
contig00048	22700	25.00
contig00049	22615	26.66
contig00050	22494	25.68
contig00051	22373	24.48
contig00052	22130	24.96
contig00053	22129	24.09
contig00054	22048	25.00
contig00055	21959	28.50
contig00056	21836	27.91
contig00057	21826	25.12
contig00058	21626	29.38
contig00059	21513	25.48
contig00060	21451	27.01
contig00061	21303	25.00
contig00062	21279	26.96
contig00063	21250	26.81
contig00064	21172	27.85
contig00065	21153	25.87
contig00066	21130	26.86
contig00067	21097	24.31
contig00068	21042	27.70
contig00069	21011	25.41
contig00070	21015	28.56
contig00071	20775	25.26
contig00072	20717	26.01
contig00073	20406	26.47
contig00074	20396	28.82
contig00075	20320	28.69
contig00076	20291	25.64
contig00077	20262	29.48
contig00078	20175	26.17
contig00079	20122	28.30
contig00080	20091	27.02
contig00081	19816	26.06
contig00082	19700	25.76
contig00083	19689	27.98
contig00084	19645	27.63
contig00085	19578	24.24
contig00086	19497	28.46
contig00087	19425	26.05
contig00088	19342	26.45
contig00089	19324	25.13
contig00090	19333	27.58
contig00091	19173	26.56
contig00092	18964	27.17
contig00093	18893	27.19
contig00094	18797	25.81
contig00095	18811	25.84
contig00096	18796	27.68
contig00097	18745	30.34
contig00098	18700	26.60
contig00099	18523	26.64
contig00100	18438	26.41
contig00101	18266	28.24
contig00102	18067	25.43
contig00103	18010	26.95
contig00104	17969	26.25
contig00105	17864	26.85
contig00106	17857	24.66
contig00107	17645	27.23
contig00108	17609	27.40
